# 金睛缉妖录_第20集_配音文案
# 标题：拼睛看破

[镜头1·旁白·危急·快] 七盏铜灯的光锁住沈砚，逼他睁眼。裴肃要在大妖出世前，夺这双眼开最后一道锁。⚡钩子
[镜头2·旁白·群像·快] 裴决被死士缠住，苏窈朱砂被妖力震开，崔监副拼力稳阵，谁都救不了他。
[镜头3·沈砚·决绝·慢] 睁眼，不算开锁。看向塔心封印，才算。
[镜头4·沈砚·狠笑·快] 那就睁。睁了，偏不看锁。
[镜头5·旁白·爆发·快] 金睛主动睁开，剧痛如万针穿颅。沈砚把脸别向一旁，死死盯住裴肃。⚡钩子
[镜头6·旁白·奇诡·常速] 金白视野照穿虚妄。裴肃从心口到四肢，早被青黑根须贯穿，源头连着柱下大妖。
[镜头7·沈砚·揭穿·快] 你说的怨，半句不假。可从你点头让它进身子的那天起，它就在一口一口吃你。
[镜头8·沈砚·痛快·快] 你以为借它谋裴家活路，其实你早赔光了。坐在次辅位子上的，还剩几成是你？💥反转
[镜头9·旁白·惊惧·慢] 裴肃第一次露出属于“裴肃”的惊恐。原来那桩新约，从头到尾都是假的。
[镜头10·旁白·破绽·快] 大妖暴怒，根须在裴肃心口第三根肋下乱了一瞬。那是它藏在人间的本源命门。⚡钩子
[镜头11·沈砚·嘶喊·快] 崔大人！它的本源藏在裴肃心口，第三根肋下！阵眼对准这里，趁现在！
[镜头12·旁白·坠黑·慢] 金光骤灭，沈砚眼前黑成一片。他笑了。师父没看清的东西，他替师父，看清了。🪝集尾
